timestamps,population,node_id,node_type_id,tuning_angle,x,y,z,pop_name
528.25,v1,226573,471819401,324.657942238,577.605809317,-696.649227552,81.3566363865,e6Ntsr1
195.25,v1,226573,471819401,324.657942238,577.605809317,-696.649227552,81.3566363865,e6Ntsr1
1265.75,v1,226566,471819401,324.601083032,-699.194967349,-728.4390912260001,-378.376548046,e6Ntsr1
956.5,v1,226566,471819401,324.601083032,-699.194967349,-728.4390912260001,-378.376548046,e6Ntsr1
630.5,v1,226566,471819401,324.601083032,-699.194967349,-728.4390912260001,-378.376548046,e6Ntsr1
619.75,v1,226566,471819401,324.601083032,-699.194967349,-728.4390912260001,-378.376548046,e6Ntsr1
1400.25,v1,226565,471819401,324.592960289,413.56722874800005,-664.397718257,381.0508369,e6Ntsr1
605.0,v1,226565,471819401,324.592960289,413.56722874800005,-664.397718257,381.0508369,e6Ntsr1
1239.75,v1,226562,471819401,324.568592058,225.347785442,-820.452396065,584.754134571,e6Ntsr1
450.0,v1,226562,471819401,324.568592058,225.347785442,-820.452396065,584.754134571,e6Ntsr1
330.25,v1,226558,471819401,324.536101083,46.266025909899994,-658.264541013,468.507631573,e6Ntsr1
198.5,v1,226558,471819401,324.536101083,46.266025909899994,-658.264541013,468.507631573,e6Ntsr1
1116.75,v1,226552,471819401,324.487364621,-401.037150232,-823.055772245,80.6877053063,e6Ntsr1
814.75,v1,226573,471819401,324.657942238,577.605809317,-696.649227552,81.3566363865,e6Ntsr1
326.0,v1,226533,471819401,324.333032491,-316.948161369,-792.793462681,-601.777235507,e6Ntsr1
143.5,v1,226530,471819401,324.30866426,-571.594579891,-808.576737387,553.409979816,e6Ntsr1
1282.25,v1,226527,471819401,324.284296029,-421.97497557599996,-834.2180606310001,322.137875494,e6Ntsr1
923.75,v1,226527,471819401,324.284296029,-421.97497557599996,-834.2180606310001,322.137875494,e6Ntsr1
322.25,v1,226527,471819401,324.284296029,-421.97497557599996,-834.2180606310001,322.137875494,e6Ntsr1
1224.75,v1,226523,471819401,324.251805054,492.486736631,-808.48957375,65.61845460069999,e6Ntsr1
1239.75,v1,226520,471819401,324.227436823,-398.760255248,-767.8929062860001,359.587913331,e6Ntsr1
897.25,v1,226520,471819401,324.227436823,-398.760255248,-767.8929062860001,359.587913331,e6Ntsr1
1185.5,v1,226514,471819401,324.178700361,167.04500384600001,-665.265577611,788.695868097,e6Ntsr1
986.75,v1,226514,471819401,324.178700361,167.04500384600001,-665.265577611,788.695868097,e6Ntsr1
982.0,v1,226513,471819401,324.170577617,-410.203262625,-749.506523004,457.053940797,e6Ntsr1
330.0,v1,226513,471819401,324.170577617,-410.203262625,-749.506523004,457.053940797,e6Ntsr1
1134.75,v1,226512,471819401,324.162454874,-556.0656499419999,-745.821601201,495.607993535,e6Ntsr1
762.25,v1,226509,471819401,324.138086643,11.7647078091,-803.556294427,-523.705170186,e6Ntsr1
1422.25,v1,226530,471819401,324.30866426,-571.594579891,-808.576737387,553.409979816,e6Ntsr1
929.0,v1,226573,471819401,324.657942238,577.605809317,-696.649227552,81.3566363865,e6Ntsr1
245.75,v1,226574,471819401,324.666064982,-297.13313329,-774.510887562,-320.400937468,e6Ntsr1
462.0,v1,226576,471819401,324.682310469,14.819036436600001,-790.388837522,-841.105911931,e6Ntsr1
975.0,v1,226630,471819401,325.120938628,-646.677282797,-770.3445251439999,-220.61243494099998,e6Ntsr1
450.75,v1,226630,471819401,325.120938628,-646.677282797,-770.3445251439999,-220.61243494099998,e6Ntsr1
175.5,v1,226630,471819401,325.120938628,-646.677282797,-770.3445251439999,-220.61243494099998,e6Ntsr1
948.0,v1,226624,471819401,325.072202166,-370.256156315,-707.441738324,-367.51842069199995,e6Ntsr1
964.0,v1,226619,471819401,325.031588448,716.17317196,-743.1883232580001,196.810201885,e6Ntsr1
170.75,v1,226619,471819401,325.031588448,716.17317196,-743.1883232580001,196.810201885,e6Ntsr1
907.0,v1,226617,471819401,325.01534296,-569.864060148,-679.5834079159999,196.553745465,e6Ntsr1
125.0,v1,226614,471819401,324.990974729,280.904707427,-663.1822918080001,-468.21481754800004,e6Ntsr1
1422.5,v1,226612,471819401,324.974729242,-508.660179899,-762.7399890410001,-142.099264264,e6Ntsr1
714.5,v1,226608,471819401,324.942238267,-290.832258394,-822.760122853,661.2463003180001,e6Ntsr1
1314.5,v1,226607,471819401,324.934115523,-630.288817101,-821.771330848,-115.35347688600001,e6Ntsr1
979.75,v1,226607,471819401,324.934115523,-630.288817101,-821.771330848,-115.35347688600001,e6Ntsr1
140.25,v1,226607,471819401,324.934115523,-630.288817101,-821.771330848,-115.35347688600001,e6Ntsr1
1166.0,v1,226604,471819401,324.909747292,-637.180237227,-843.157305993,382.93156146900003,e6Ntsr1
1177.75,v1,226601,471819401,324.885379061,-206.87458538799999,-803.8309233780001,450.889180773,e6Ntsr1
298.5,v1,226601,471819401,324.885379061,-206.87458538799999,-803.8309233780001,450.889180773,e6Ntsr1
1281.75,v1,226600,471819401,324.877256318,-623.662238953,-733.138603726,-120.827824249,e6Ntsr1
988.25,v1,226600,471819401,324.877256318,-623.662238953,-733.138603726,-120.827824249,e6Ntsr1
975.5,v1,226597,471819401,324.852888087,760.4085589010001,-806.422338103,-222.765001527,e6Ntsr1
975.5,v1,226592,471819401,324.812274368,473.585367678,-819.144823748,-194.659654995,e6Ntsr1
869.0,v1,226587,471819401,324.77166065,519.884190274,-663.925739023,-468.966659007,e6Ntsr1
168.25,v1,226587,471819401,324.77166065,519.884190274,-663.925739023,-468.966659007,e6Ntsr1
153.5,v1,226587,471819401,324.77166065,519.884190274,-663.925739023,-468.966659007,e6Ntsr1
1220.25,v1,226586,471819401,324.763537906,-197.58792990400002,-834.144520823,617.184469958,e6Ntsr1
518.0,v1,226585,471819401,324.755415162,413.452803398,-691.967791414,-130.909723902,e6Ntsr1
639.75,v1,226579,471819401,324.7066787,597.771798599,-771.645091438,246.50155781,e6Ntsr1
261.75,v1,226579,471819401,324.7066787,597.771798599,-771.645091438,246.50155781,e6Ntsr1
1414.5,v1,226576,471819401,324.682310469,14.819036436600001,-790.388837522,-841.105911931,e6Ntsr1
1056.0,v1,226576,471819401,324.682310469,14.819036436600001,-790.388837522,-841.105911931,e6Ntsr1
742.0,v1,226508,471819401,324.129963899,457.382946848,-808.8852368639999,-296.505910454,e6Ntsr1
1179.75,v1,226499,471819401,324.056859206,83.9562637618,-761.88738874,656.559766091,e6Ntsr1
1022.5,v1,226499,471819401,324.056859206,83.9562637618,-761.88738874,656.559766091,e6Ntsr1
873.0,v1,226499,471819401,324.056859206,83.9562637618,-761.88738874,656.559766091,e6Ntsr1
1321.25,v1,226369,471819401,323.000902527,755.34235352,-737.3398786610001,-333.04255683900004,e6Ntsr1
