timestamps,population,node_id,node_type_id,tuning_angle,x,y,z,pop_name
442.0,v1,227503,471819401,332.212093863,459.35148369300003,-687.324716071,338.94594636,e6Ntsr1
160.75,v1,227503,471819401,332.212093863,459.35148369300003,-687.324716071,338.94594636,e6Ntsr1
1393.5,v1,227502,471819401,332.203971119,-617.1019794690001,-826.4995130589999,-94.9004070651,e6Ntsr1
999.25,v1,227497,471819401,332.163357401,-239.055456658,-848.45749585,545.228625888,e6Ntsr1
1059.75,v1,227495,471819401,332.147111913,-19.1342939312,-764.0740661110001,-621.065485941,e6Ntsr1
1372.5,v1,227494,471819401,332.13898917,362.532166911,-834.665211371,697.200604168,e6Ntsr1
1357.75,v1,227494,471819401,332.13898917,362.532166911,-834.665211371,697.200604168,e6Ntsr1
1134.75,v1,227483,471819401,332.049638989,450.69465358599996,-800.946712579,286.296225967,e6Ntsr1
599.5,v1,227483,471819401,332.049638989,450.69465358599996,-800.946712579,286.296225967,e6Ntsr1
335.5,v1,227473,471819401,331.968411552,48.8802109237,-759.395237553,-502.01599658599997,e6Ntsr1
1380.0,v1,227464,471819401,331.895306859,445.94100746199996,-824.8885918569999,618.185186229,e6Ntsr1
1182.25,v1,227464,471819401,331.895306859,445.94100746199996,-824.8885918569999,618.185186229,e6Ntsr1
359.75,v1,227464,471819401,331.895306859,445.94100746199996,-824.8885918569999,618.185186229,e6Ntsr1
920.25,v1,227459,471819401,331.854693141,-580.0858252740001,-778.998653855,324.998443906,e6Ntsr1
697.75,v1,227504,471819401,332.220216606,-52.623278632799995,-749.998616167,480.814625551,e6Ntsr1
1265.0,v1,227457,471819401,331.838447653,576.955928482,-694.842581425,-332.201831982,e6Ntsr1
658.75,v1,227453,471819401,331.805956679,-578.677759041,-705.65286436,177.346438665,e6Ntsr1
329.0,v1,227441,471819401,331.708483755,730.222884516,-837.662039506,-56.915791734799996,e6Ntsr1
1051.25,v1,227440,471819401,331.700361011,638.971738693,-815.947030258,477.50159377800003,e6Ntsr1
914.25,v1,227440,471819401,331.700361011,638.971738693,-815.947030258,477.50159377800003,e6Ntsr1
731.75,v1,227440,471819401,331.700361011,638.971738693,-815.947030258,477.50159377800003,e6Ntsr1
96.25,v1,227440,471819401,331.700361011,638.971738693,-815.947030258,477.50159377800003,e6Ntsr1
805.0,v1,227438,471819401,331.684115523,207.352012147,-742.754781875,-574.337499123,e6Ntsr1
790.5,v1,227438,471819401,331.684115523,207.352012147,-742.754781875,-574.337499123,e6Ntsr1
837.75,v1,227431,471819401,331.627256318,-582.784329606,-713.052920006,238.988889319,e6Ntsr1
