timestamps population node_ids
646.0 v1 157754
296.0 v1 157754
394.75 v1 157752
331.75 v1 157750
1361.25 v1 157747
314.5 v1 157747
92.0 v1 157747
247.5 v1 157746
827.0 v1 157744
383.75 v1 157744
1355.0 v1 157742
1168.0 v1 157742
1032.5 v1 157742
370.0 v1 157742
308.25 v1 157742
644.0 v1 157720
224.0 v1 157720
1136.75 v1 157719
930.25 v1 157719
436.0 v1 157707
724.0 v1 157706
1187.0 v1 157704
895.0 v1 157704
253.25 v1 157704
155.75 v1 157704
1072.25 v1 157703
984.75 v1 157703
931.0 v1 157703
723.5 v1 157703
609.0 v1 157703
365.75 v1 157703
295.25 v1 157703
217.0 v1 157703
73.75 v1 157703
925.25 v1 157701
1391.5 v1 157700
1260.75 v1 157700
949.5 v1 157700
604.25 v1 157700
45.5 v1 157700
332.75 v1 157696
1237.5 v1 157695
980.5 v1 157695
798.0 v1 157695
678.0 v1 157695
405.5 v1 157695
321.0 v1 157695
31.5 v1 157695
1293.0 v1 157707
1310.75 v1 157757
1335.75 v1 157707
614.5 v1 157708
461.0 v1 157719
305.5 v1 157719
235.25 v1 157719
167.5 v1 157719
1259.25 v1 157718
1090.0 v1 157718
995.5 v1 157718
911.75 v1 157718
626.0 v1 157718
692.5 v1 157716
375.25 v1 157716
57.5 v1 157716
1269.0 v1 157715
960.5 v1 157715
774.25 v1 157715
219.75 v1 157715
35.0 v1 157715
60.0 v1 157714
1108.0 v1 157713
1357.5 v1 157711
985.25 v1 157711
860.5 v1 157711
579.75 v1 157711
55.0 v1 157711
1063.25 v1 157710
292.25 v1 157710
780.5 v1 157709
419.25 v1 157709
1201.25 v1 157708
54.25 v1 157708
34.0 v1 157758
322.5 v1 157758
1140.5 v1 157758
732.0 v1 157803
500.5 v1 157803
54.5 v1 157803
1099.5 v1 157801
976.75 v1 157801
688.5 v1 157801
441.0 v1 157801
1097.25 v1 157800
718.5 v1 157800
483.0 v1 157800
173.75 v1 157800
1393.0 v1 157798
1061.75 v1 157798
727.0 v1 157798
474.75 v1 157798
247.25 v1 157798
152.25 v1 157798
1242.25 v1 157795
986.5 v1 157795
617.5 v1 157795
155.25 v1 157795
1381.0 v1 157790
1326.0 v1 157790
1228.5 v1 157790
1106.5 v1 157790
778.5 v1 157790
673.0 v1 157790
496.25 v1 157790
372.75 v1 157790
1245.25 v1 157803
321.0 v1 157790
161.5 v1 157806
1388.25 v1 157806
167.25 v1 157819
1308.0 v1 157818
1381.75 v1 157816
1103.5 v1 157816
842.5 v1 157816
605.75 v1 157816
163.0 v1 157816
17.0 v1 157816
1019.25 v1 157815
946.0 v1 157815
623.0 v1 157815
497.75 v1 157815
372.75 v1 157815
816.0 v1 157814
611.25 v1 157814
299.5 v1 157814
1228.25 v1 157813
967.75 v1 157813
232.75 v1 157813
116.5 v1 157813
