timestamps population node_ids
406.75 v1 158147
651.5 v1 158147
731.25 v1 158147
651.25 v1 158146
313.25 v1 158144
548.5 v1 158152
1245.0 v1 158152
128.75 v1 158159
77.0 v1 158159
1206.75 v1 158158
1097.0 v1 158158
773.75 v1 158158
395.75 v1 158158
1365.75 v1 158157
1216.25 v1 158157
977.0 v1 158157
903.75 v1 158157
643.25 v1 158157
536.75 v1 158157
451.0 v1 158157
186.75 v1 158157
17.75 v1 158157
1393.75 v1 158155
1273.25 v1 158155
29.0 v1 158153
184.25 v1 158153
441.25 v1 158153
452.75 v1 158153
849.75 v1 158153
968.75 v1 158153
727.25 v1 158152
1107.75 v1 158153
1273.25 v1 158153
1297.5 v1 158153
1400.5 v1 158153
383.5 v1 158155
604.5 v1 158155
679.25 v1 158155
1244.75 v1 158153
192.75 v1 158159
158.75 v1 158144
316.5 v1 158141
146.5 v1 158121
1152.75 v1 158117
959.0 v1 158117
725.75 v1 158114
386.75 v1 158114
925.75 v1 158112
1351.0 v1 158110
929.25 v1 158110
445.0 v1 158110
379.5 v1 158110
264.25 v1 158110
1367.0 v1 158107
1195.25 v1 158107
1119.25 v1 158107
935.5 v1 158107
740.25 v1 158107
279.25 v1 158107
128.75 v1 158101
305.75 v1 158101
407.75 v1 158101
643.5 v1 158101
985.5 v1 158101
1055.5 v1 158101
372.0 v1 158121
1094.0 v1 158101
1325.75 v1 158101
149.5 v1 158104
363.25 v1 158104
826.0 v1 158104
1043.5 v1 158104
219.5 v1 158107
1170.0 v1 158101
1085.75 v1 158141
446.5 v1 158121
638.75 v1 158121
1176.5 v1 158140
1069.25 v1 158140
669.25 v1 158140
430.75 v1 158140
1051.25 v1 158136
488.25 v1 158136
219.5 v1 158136
1117.0 v1 158134
1046.75 v1 158134
835.75 v1 158134
226.25 v1 158134
138.25 v1 158134
967.75 v1 158133
381.5 v1 158133
1108.0 v1 158132
741.25 v1 158132
434.25 v1 158132
1106.25 v1 158121
1207.0 v1 158121
1244.5 v1 158121
84.5 v1 158123
221.25 v1 158126
701.75 v1 158126
487.25 v1 158121
206.25 v1 158129
464.0 v1 158129
633.0 v1 158129
935.25 v1 158129
1038.5 v1 158129
1088.0 v1 158129
1235.5 v1 158129
270.75 v1 158129
492.5 v1 158159
782.5 v1 158159
901.75 v1 158159
1010.75 v1 158226
873.0 v1 158226
833.75 v1 158226
701.75 v1 158226
555.5 v1 158226
256.0 v1 158226
140.0 v1 158226
1396.0 v1 158225
1111.5 v1 158225
832.0 v1 158225
428.0 v1 158225
317.5 v1 158225
321.0 v1 158223
1384.75 v1 158221
1363.5 v1 158221
1245.25 v1 158221
778.25 v1 158221
929.75 v1 158215
58.25 v1 158218
307.75 v1 158218
405.25 v1 158218
729.25 v1 158218
812.75 v1 158218
383.25 v1 158229
1114.5 v1 158218
28.75 v1 158220
521.75 v1 158220
82.5 v1 158221
392.5 v1 158221
545.5 v1 158221
717.25 v1 158221
1335.0 v1 158218
772.75 v1 158215
874.25 v1 158229
731.75 v1 158230
723.25 v1 158252
337.25 v1 158252
118.25 v1 158252
1138.5 v1 158248
964.75 v1 158248
420.5 v1 158248
1114.5 v1 158247
980.25 v1 158247
834.0 v1 158247
721.75 v1 158247
569.5 v1 158247
515.75 v1 158247
320.75 v1 158247
84.5 v1 158247
957.75 v1 158246
1242.75 v1 158245
1149.75 v1 158245
938.25 v1 158230
287.75 v1 158236
367.0 v1 158236
361.0 v1 158237
1205.0 v1 158240
665.5 v1 158241
1275.0 v1 158229
732.5 v1 158241
119.25 v1 158245
615.5 v1 158245
651.75 v1 158245
806.75 v1 158245
953.25 v1 158245
1063.25 v1 158245
1270.0 v1 158241
664.0 v1 158215
570.0 v1 158215
47.0 v1 158215
682.5 v1 158194
247.0 v1 158194
97.5 v1 158194
1169.75 v1 158192
610.75 v1 158192
913.75 v1 158188
594.0 v1 158188
131.5 v1 158188
827.25 v1 158187
408.5 v1 158187
291.5 v1 158187
666.5 v1 158182
591.75 v1 158182
499.25 v1 158182
