timestamps population node_ids
72.5 v1 157949
219.5 v1 157949
303.0 v1 157949
634.0 v1 157949
736.5 v1 157949
1292.0 v1 157949
22.0 v1 157949
552.75 v1 157981
1023.75 v1 157981
80.5 v1 157982
1339.25 v1 157993
428.0 v1 157997
797.75 v1 157997
1002.75 v1 157997
1174.5 v1 157997
1240.5 v1 157997
1202.25 v1 157993
469.25 v1 157998
70.75 v1 158001
141.5 v1 158001
306.75 v1 158001
357.25 v1 158001
548.75 v1 158001
823.75 v1 158001
1272.0 v1 157999
610.25 v1 157942
1157.5 v1 157993
89.75 v1 157993
172.5 v1 157982
359.0 v1 157982
834.5 v1 157982
891.25 v1 157982
1037.5 v1 157982
1270.5 v1 157982
339.25 v1 157993
566.0 v1 157985
826.5 v1 157986
1099.0 v1 157986
1235.75 v1 157986
1307.0 v1 157986
206.75 v1 157988
323.5 v1 157988
111.25 v1 157986
964.25 v1 158001
461.0 v1 157942
830.25 v1 157941
33.5 v1 157915
1273.5 v1 157914
168.0 v1 157913
768.25 v1 157911
1274.0 v1 157906
398.75 v1 157906
144.75 v1 157906
1341.25 v1 157905
949.0 v1 157905
811.5 v1 157905
698.5 v1 157905
457.0 v1 157905
308.5 v1 157905
227.0 v1 157905
24.0 v1 157905
1282.75 v1 157900
687.5 v1 157900
387.5 v1 157894
663.0 v1 157894
916.75 v1 157894
308.75 v1 157895
396.75 v1 157895
453.25 v1 157895
541.5 v1 157915
633.25 v1 157895
993.25 v1 157895
1066.5 v1 157895
1366.75 v1 157895
662.0 v1 157899
1136.25 v1 157899
463.0 v1 157900
935.5 v1 157895
709.5 v1 157915
822.75 v1 157915
1253.5 v1 157915
971.0 v1 157928
35.0 v1 157929
1033.25 v1 157929
663.5 v1 157930
972.25 v1 157930
739.25 v1 157935
843.75 v1 157928
1176.0 v1 157935
1103.5 v1 157938
457.5 v1 157939
1102.25 v1 157939
1187.25 v1 157939
67.25 v1 157941
447.5 v1 157941
724.75 v1 157937
37.5 v1 157942
1400.75 v1 157927
970.25 v1 157924
201.0 v1 157916
40.5 v1 157917
166.75 v1 157917
323.5 v1 157917
669.5 v1 157917
966.75 v1 157919
1345.0 v1 157924
191.5 v1 157923
464.25 v1 157923
721.25 v1 157923
830.5 v1 157923
1095.75 v1 157923
1348.25 v1 157923
362.75 v1 157924
335.75 v1 157923
996.25 v1 158001
1084.25 v1 158001
45.0 v1 158002
1203.25 v1 158055
209.0 v1 158055
1302.75 v1 158054
70.75 v1 158054
826.0 v1 158050
