timestamps,population,node_id,node_type_id,tuning_angle,x,y,z,pop_name
887.25,v1,227561,471819401,332.683212996,-463.430003644,-833.9384992839999,461.782839629,e6Ntsr1
980.0,v1,227560,471819401,332.675090253,-382.568409402,-673.096788113,424.964512562,e6Ntsr1
827.5,v1,227560,471819401,332.675090253,-382.568409402,-673.096788113,424.964512562,e6Ntsr1
243.75,v1,227547,471819401,332.569494585,-487.15642172,-733.3726352880001,573.42816611,e6Ntsr1
1088.75,v1,227546,471819401,332.561371841,-231.16670985,-743.788102998,465.97718945800005,e6Ntsr1
164.75,v1,227546,471819401,332.561371841,-231.16670985,-743.788102998,465.97718945800005,e6Ntsr1
1099.5,v1,227545,471819401,332.553249097,-138.348560756,-798.40652517,504.37985880300005,e6Ntsr1
1086.0,v1,227543,471819401,332.53700361,796.091979694,-711.241583034,233.667828992,e6Ntsr1
54.5,v1,227531,471819401,332.439530686,-202.138525636,-676.534142936,484.39368635,e6Ntsr1
1064.25,v1,227521,471819401,332.358303249,-228.25884593599997,-752.587325113,-575.819230544,e6Ntsr1
937.0,v1,227521,471819401,332.358303249,-228.25884593599997,-752.587325113,-575.819230544,e6Ntsr1
445.5,v1,227521,471819401,332.358303249,-228.25884593599997,-752.587325113,-575.819230544,e6Ntsr1
157.5,v1,227521,471819401,332.358303249,-228.25884593599997,-752.587325113,-575.819230544,e6Ntsr1
228.25,v1,227519,471819401,332.342057762,33.9446098042,-749.168594041,-480.01006962400004,e6Ntsr1
1121.25,v1,227512,471819401,332.285198556,730.9688138939999,-792.275580014,-220.26352370599997,e6Ntsr1
242.25,v1,227512,471819401,332.285198556,730.9688138939999,-792.275580014,-220.26352370599997,e6Ntsr1
327.25,v1,227505,471819401,332.22833935,61.4498200779,-815.602599166,470.64835061300005,e6Ntsr1
1119.5,v1,227479,471819401,332.01714801400004,416.712037576,-762.565467917,709.502365617,e6Ntsr1
701.0,v1,227483,471819401,332.049638989,450.69465358599996,-800.946712579,286.296225967,e6Ntsr1
1054.0,v1,227494,471819401,332.13898917,362.532166911,-834.665211371,697.200604168,e6Ntsr1
1162.0,v1,227503,471819401,332.212093863,459.35148369300003,-687.324716071,338.94594636,e6Ntsr1
101.5,v1,227504,471819401,332.220216606,-52.623278632799995,-749.998616167,480.814625551,e6Ntsr1
113.75,v1,227504,471819401,332.220216606,-52.623278632799995,-749.998616167,480.814625551,e6Ntsr1
1181.0,v1,227561,471819401,332.683212996,-463.430003644,-833.9384992839999,461.782839629,e6Ntsr1
182.5,v1,227504,471819401,332.220216606,-52.623278632799995,-749.998616167,480.814625551,e6Ntsr1
375.25,v1,227504,471819401,332.220216606,-52.623278632799995,-749.998616167,480.814625551,e6Ntsr1
426.5,v1,227504,471819401,332.220216606,-52.623278632799995,-749.998616167,480.814625551,e6Ntsr1
1084.0,v1,227504,471819401,332.220216606,-52.623278632799995,-749.998616167,480.814625551,e6Ntsr1
1096.0,v1,227504,471819401,332.220216606,-52.623278632799995,-749.998616167,480.814625551,e6Ntsr1
1274.25,v1,227504,471819401,332.220216606,-52.623278632799995,-749.998616167,480.814625551,e6Ntsr1
1285.5,v1,227504,471819401,332.220216606,-52.623278632799995,-749.998616167,480.814625551,e6Ntsr1
