timestamps,population,node_id,node_type_id,tuning_angle,x,y,z,pop_name
1161.5,v1,29373,487661754,20.9767570559,-125.99038018700001,-125.010031903,806.336801435,e23Cux2
905.5,v1,29373,487661754,20.9767570559,-125.99038018700001,-125.010031903,806.336801435,e23Cux2
1284.75,v1,29371,487661754,20.960154953,-239.082584263,-137.72101223200002,406.284595978,e23Cux2
1283.5,v1,29368,487661754,20.9352517986,-256.77503870000004,-169.088544719,655.118234395,e23Cux2
1365.25,v1,29367,487661754,20.9269507471,448.478543776,-306.968434704,15.642265421800001,e23Cux2
1172.5,v1,29367,487661754,20.9269507471,448.478543776,-306.968434704,15.642265421800001,e23Cux2
982.5,v1,29367,487661754,20.9269507471,448.478543776,-306.968434704,15.642265421800001,e23Cux2
284.0,v1,29367,487661754,20.9269507471,448.478543776,-306.968434704,15.642265421800001,e23Cux2
1308.5,v1,29365,487661754,20.9103486442,285.607248343,-189.547515777,426.831063898,e23Cux2
1083.5,v1,29364,487661754,20.9020475927,32.7389623648,-168.736450759,-835.999075815,e23Cux2
248.25,v1,29364,487661754,20.9020475927,32.7389623648,-168.736450759,-835.999075815,e23Cux2
1167.5,v1,29362,487661754,20.8854454898,-612.9324083619999,-126.53295887,196.54396729799998,e23Cux2
252.5,v1,29362,487661754,20.8854454898,-612.9324083619999,-126.53295887,196.54396729799998,e23Cux2
656.75,v1,29354,487661754,20.819037078,785.9163994930001,-143.96708503,159.54828251200001,e23Cux2
296.5,v1,29349,487661754,20.7775318207,-326.54188886400004,-126.189108872,-334.76948600400004,e23Cux2
1244.5,v1,29348,487661754,20.7692307692,-151.675760533,-277.26039709599996,-756.887055408,e23Cux2
1022.25,v1,29348,487661754,20.7692307692,-151.675760533,-277.26039709599996,-756.887055408,e23Cux2
668.75,v1,29318,487661754,20.5201992252,242.07857572700001,-293.72616434400004,528.9432811959999,e23Cux2
413.0,v1,29321,487661754,20.5451023796,-655.4305889369999,-162.411114257,241.47402941299998,e23Cux2
325.25,v1,29330,487661754,20.6198118428,385.28392242,-278.255389037,-692.0046712430001,e23Cux2
1256.0,v1,29331,487661754,20.6281128943,-801.6560423660001,-288.286946885,125.74541107700001,e23Cux2
409.25,v1,29332,487661754,20.636413945799998,-33.4286775534,-128.77489142299999,539.47103076,e23Cux2
998.75,v1,29332,487661754,20.636413945799998,-33.4286775534,-128.77489142299999,539.47103076,e23Cux2
1307.75,v1,29375,487661754,20.9933591588,266.679137932,-254.14574549900001,664.395950514,e23Cux2
324.5,v1,29333,487661754,20.6447149972,33.515518496700004,-212.593613744,701.319253313,e23Cux2
1112.0,v1,29337,487661754,20.6779192031,385.1812268,-308.374324383,-710.0164068810001,e23Cux2
401.75,v1,29338,487661754,20.686220254600002,667.773652338,-291.596137129,-342.62231458599996,e23Cux2
1272.5,v1,29342,487661754,20.7194244604,-284.915268093,-221.029373837,565.879495645,e23Cux2
963.5,v1,29343,487661754,20.7277255119,293.46687909400003,-308.468584823,-345.603140106,e23Cux2
1014.75,v1,29344,487661754,20.7360265634,443.49381413199995,-154.24198594799998,623.88630691,e23Cux2
329.75,v1,29348,487661754,20.7692307692,-151.675760533,-277.26039709599996,-756.887055408,e23Cux2
609.75,v1,29333,487661754,20.6447149972,33.515518496700004,-212.593613744,701.319253313,e23Cux2
353.0,v1,29318,487661754,20.5201992252,242.07857572700001,-293.72616434400004,528.9432811959999,e23Cux2
1112.0,v1,29380,487661754,21.034864416199998,372.326489401,-126.27721269700001,-422.19718829199996,e23Cux2
249.0,v1,29393,487661754,21.1427780852,-599.720836241,-199.27708705700002,227.246665489,e23Cux2
1048.75,v1,29493,487661754,21.9728832319,387.815738945,-286.059669915,-614.945936148,e23Cux2
311.25,v1,29493,487661754,21.9728832319,387.815738945,-286.059669915,-614.945936148,e23Cux2
1351.75,v1,29489,487661754,21.939679026,-261.608823611,-268.115086433,410.894094655,e23Cux2
1160.25,v1,29487,487661754,21.9230769231,-595.489244432,-229.59535865799998,-524.3026878740001,e23Cux2
234.0,v1,29485,487661754,21.9064748201,175.291529289,-197.91323459999998,-450.582443595,e23Cux2
1089.5,v1,29483,487661754,21.8898727172,535.494953784,-155.239403358,-140.31507807399998,e23Cux2
1278.75,v1,29481,487661754,21.873270614299997,-656.570321776,-101.42022661799999,-67.5922921987,e23Cux2
824.5,v1,29476,487661754,21.8317653569,-38.7881548342,-134.067129135,-663.782707185,e23Cux2
225.5,v1,29457,487661754,21.674045379099997,190.04667194700002,-165.604812659,-514.951040949,e23Cux2
1385.75,v1,29455,487661754,21.6574432761,417.578509699,-182.43729757,349.125381145,e23Cux2
1044.75,v1,29455,487661754,21.6574432761,417.578509699,-182.43729757,349.125381145,e23Cux2
1387.75,v1,29450,487661754,21.6159380188,722.7207456010001,-301.415699745,337.117774151,e23Cux2
313.5,v1,29447,487661754,21.5910348644,403.89565980300006,-197.60210653099998,-556.0684114640001,e23Cux2
1396.0,v1,29442,487661754,21.549529607100002,-427.10072402699996,-208.932699845,694.973763094,e23Cux2
1118.0,v1,29428,487661754,21.4333148866,-763.029454973,-272.630671579,-2.4562152182099997,e23Cux2
704.5,v1,29427,487661754,21.4250138351,-603.5886835919999,-250.41080665299998,-177.36431415799998,e23Cux2
1376.25,v1,29424,487661754,21.4001106807,110.33435532,-306.723949705,813.8580952589999,e23Cux2
955.0,v1,29393,487661754,21.1427780852,-599.720836241,-199.27708705700002,227.246665489,e23Cux2
1284.75,v1,29393,487661754,21.1427780852,-599.720836241,-199.27708705700002,227.246665489,e23Cux2
320.5,v1,29403,487661754,21.2257885999,138.204002036,-248.513599588,807.93836676,e23Cux2
1396.75,v1,29403,487661754,21.2257885999,138.204002036,-248.513599588,807.93836676,e23Cux2
935.0,v1,29405,487661754,21.242390702799998,-529.100448037,-268.414682091,-53.0673223142,e23Cux2
202.25,v1,29408,487661754,21.2672938572,-63.628346659099996,-137.951723014,-587.608582807,e23Cux2
1066.0,v1,29383,487661754,21.0597675706,834.658785182,-158.3417647,-78.79844672770001,e23Cux2
814.0,v1,29408,487661754,21.2672938572,-63.628346659099996,-137.951723014,-587.608582807,e23Cux2
986.25,v1,29411,487661754,21.292197011600003,94.8656717028,-256.751000979,-740.824282236,e23Cux2
793.75,v1,29412,487661754,21.3004980631,792.657589786,-150.47419892,-85.6230813108,e23Cux2
1284.75,v1,29414,487661754,21.317100166,553.379562505,-129.591723102,177.23327977099999,e23Cux2
1391.75,v1,29423,487661754,21.3918096292,636.411404166,-222.342039107,159.151697686,e23Cux2
317.0,v1,29424,487661754,21.4001106807,110.33435532,-306.723949705,813.8580952589999,e23Cux2
977.5,v1,29424,487661754,21.4001106807,110.33435532,-306.723949705,813.8580952589999,e23Cux2
1205.0,v1,29408,487661754,21.2672938572,-63.628346659099996,-137.951723014,-587.608582807,e23Cux2
314.75,v1,29500,487661754,22.0309905921,75.3806248471,-227.69795574900002,640.93209458,e23Cux2
1252.0,v1,29315,487661754,20.4952960708,313.971349236,-124.85010000700001,474.98857828900003,e23Cux2
842.0,v1,29310,487661754,20.4537908135,-479.80458579099997,-146.956417541,-424.067399669,e23Cux2
957.75,v1,29209,487661754,19.6153846154,181.75188215900002,-154.361006778,-589.285614258,e23Cux2
222.75,v1,29209,487661754,19.6153846154,181.75188215900002,-154.361006778,-589.285614258,e23Cux2
1388.25,v1,29207,487661754,19.5987825125,150.24823031,-271.263959879,-511.291503935,e23Cux2
942.25,v1,29207,487661754,19.5987825125,150.24823031,-271.263959879,-511.291503935,e23Cux2
206.5,v1,29207,487661754,19.5987825125,150.24823031,-271.263959879,-511.291503935,e23Cux2
1056.25,v1,29202,487661754,19.5572772551,125.01119812399999,-105.1141031,418.741906736,e23Cux2
1389.25,v1,29199,487661754,19.5323741007,-556.2012811559999,-282.916916662,-194.60915365099999,e23Cux2
967.0,v1,29199,487661754,19.5323741007,-556.2012811559999,-282.916916662,-194.60915365099999,e23Cux2
1349.0,v1,29198,487661754,19.5240730493,-250.991524034,-101.56847268,374.816003492,e23Cux2
