timestamps population node_ids
1051.25 v1 157923
957.75 v1 157923
696.0 v1 157923
620.0 v1 157923
416.75 v1 157923
287.5 v1 157923
83.0 v1 157923
1098.75 v1 157917
824.25 v1 157917
438.0 v1 157917
1114.5 v1 157915
613.5 v1 157915
1021.75 v1 157900
436.0 v1 157915
58.75 v1 157915
1396.25 v1 157914
1265.5 v1 157913
843.5 v1 157911
1065.25 v1 157906
292.0 v1 157906
123.75 v1 157906
1272.0 v1 157905
1047.75 v1 157905
978.0 v1 157905
793.0 v1 157905
445.25 v1 157905
291.75 v1 157905
59.0 v1 157905
165.75 v1 157915
221.75 v1 157928
504.0 v1 157886
215.25 v1 157886
600.75 v1 157879
1032.25 v1 157876
953.5 v1 157876
783.0 v1 157876
588.75 v1 157876
334.75 v1 157876
150.0 v1 157876
31.5 v1 157876
1208.75 v1 157875
259.25 v1 157875
1401.25 v1 157874
1138.25 v1 157874
1033.0 v1 157874
796.25 v1 157874
32.5 v1 157880
612.0 v1 157874
112.5 v1 157874
1335.0 v1 157873
1120.5 v1 157873
1002.25 v1 157873
837.0 v1 157873
546.25 v1 157873
1257.0 v1 157871
750.25 v1 157871
408.25 v1 157871
223.75 v1 157871
796.25 v1 157870
399.25 v1 157870
1193.75 v1 157865
565.75 v1 157865
215.5 v1 157874
394.25 v1 157886
206.75 v1 157880
451.5 v1 157880
77.5 v1 157886
1238.0 v1 157884
1160.25 v1 157884
882.0 v1 157884
707.75 v1 157884
443.25 v1 157883
1382.0 v1 157882
1197.25 v1 157882
832.25 v1 157882
787.5 v1 157882
511.75 v1 157882
368.0 v1 157882
93.75 v1 157882
1344.0 v1 157881
307.25 v1 157880
1294.75 v1 157881
1093.75 v1 157881
1044.0 v1 157881
906.0 v1 157881
679.25 v1 157881
554.25 v1 157881
316.75 v1 157881
233.75 v1 157881
134.5 v1 157881
36.0 v1 157881
1312.25 v1 157880
1175.5 v1 157880
1032.5 v1 157880
957.5 v1 157880
727.5 v1 157880
1158.0 v1 157881
934.0 v1 157928
251.0 v1 157929
267.75 v1 157930
1078.0 v1 158004
953.0 v1 158004
519.75 v1 158004
397.5 v1 158004
1310.25 v1 158003
689.5 v1 158003
569.75 v1 158003
1361.25 v1 158002
1276.0 v1 158002
411.0 v1 158002
248.5 v1 158002
80.25 v1 158002
1365.0 v1 158001
1235.75 v1 158001
126.75 v1 158009
956.25 v1 158001
794.5 v1 158001
723.5 v1 158001
590.25 v1 158001
318.5 v1 158001
38.5 v1 158001
451.75 v1 157999
1118.5 v1 157998
357.5 v1 157998
1350.25 v1 157997
1258.0 v1 157997
836.5 v1 157997
311.75 v1 157997
59.5 v1 157997
1202.25 v1 157993
879.75 v1 158001
599.25 v1 157993
161.75 v1 158009
645.75 v1 158009
648.5 v1 158020
115.0 v1 158020
1158.75 v1 158016
814.5 v1 158016
1342.75 v1 158015
1187.75 v1 158015
784.5 v1 158015
601.25 v1 158015
499.5 v1 158015
119.5 v1 158015
1199.0 v1 158014
965.0 v1 158014
543.75 v1 158014
52.75 v1 158014
385.0 v1 158009
1283.5 v1 158013
888.25 v1 158013
702.0 v1 158013
78.0 v1 158013
1091.0 v1 158012
807.0 v1 158012
355.25 v1 158012
88.5 v1 158012
950.25 v1 158011
45.25 v1 158011
786.0 v1 158010
396.75 v1 158010
965.25 v1 158009
824.25 v1 158009
773.75 v1 158009
1087.5 v1 158013
519.0 v1 157993
171.0 v1 157993
1347.25 v1 157988
981.25 v1 157957
929.5 v1 157957
681.0 v1 157957
241.25 v1 157957
965.25 v1 157955
946.0 v1 157955
700.25 v1 157955
459.75 v1 157955
1326.75 v1 157949
1086.75 v1 157949
929.25 v1 157949
541.25 v1 157949
358.75 v1 157949
38.25 v1 157949
1100.0 v1 157957
978.75 v1 157948
697.5 v1 157942
1342.75 v1 157941
363.75 v1 157941
134.0 v1 157941
981.25 v1 157939
542.25 v1 157939
830.25 v1 157938
679.25 v1 157938
53.0 v1 157938
1085.0 v1 157937
922.75 v1 157937
563.25 v1 157937
307.5 v1 157937
749.5 v1 157935
886.75 v1 157948
309.25 v1 157960
417.5 v1 157960
593.5 v1 157960
1113.25 v1 157988
822.0 v1 157988
750.0 v1 157988
1013.25 v1 157986
331.25 v1 157986
89.25 v1 157986
608.75 v1 157985
160.0 v1 157985
1077.0 v1 157982
934.75 v1 157982
659.25 v1 157982
335.75 v1 157982
230.5 v1 157982
40.0 v1 157982
327.0 v1 157981
1060.25 v1 157978
868.25 v1 157978
1163.5 v1 157960
1272.5 v1 157960
61.75 v1 157961
306.5 v1 157961
876.0 v1 157961
974.5 v1 157961
1284.75 v1 158020
1043.75 v1 157961
575.25 v1 157966
88.0 v1 157975
233.0 v1 157976
315.5 v1 157978
433.0 v1 157978
722.75 v1 157978
832.0 v1 157962
65.0 v1 158158
452.75 v1 158158
724.75 v1 158158
260.75 v1 158374
1279.25 v1 158372
1155.75 v1 158372
1086.5 v1 158372
952.5 v1 158372
885.0 v1 158372
694.0 v1 158372
605.25 v1 158372
563.5 v1 158372
423.5 v1 158372
306.25 v1 158372
70.5 v1 158372
1272.5 v1 158371
218.0 v1 158371
453.5 v1 158374
1270.0 v1 158370
