timestamps,population,node_id,node_type_id,tuning_angle,x,y,z,pop_name
29.75,v1,150219,318733871,19.2599575772,56.7937056142,-404.32938828,-686.710308786,e4Nr5a1
558.25,v1,150204,318733871,17.9872731558,616.502266373,-324.74861400599997,-467.485594715,e4Nr5a1
165.5,v1,150158,318733871,14.084374263499999,351.50608936599997,-337.038988735,689.259981066,e4Nr5a1
799.25,v1,150102,318733871,9.33301909027,468.999590983,-369.21510180800004,-142.80823367600001,e4Nr5a1
965.75,v1,150088,318733871,8.145180296960001,635.3059718,-369.650467942,283.788821761,e4Nr5a1
178.75,v1,150088,318733871,8.145180296960001,635.3059718,-369.650467942,283.788821761,e4Nr5a1
896.75,v1,150073,318733871,6.872495875560001,-591.028730118,-376.149603932,349.61680590599997,e4Nr5a1
1017.75,v1,150069,318733871,6.53311336319,436.787497252,-390.85362694199995,606.201743655,e4Nr5a1
328.0,v1,150069,318733871,6.53311336319,436.787497252,-390.85362694199995,606.201743655,e4Nr5a1
585.0,v1,155135,476451456,259.615384615,288.177105779,-425.718310598,-262.181189344,e4Nr5a1
312.5,v1,155135,476451456,259.615384615,288.177105779,-425.718310598,-262.181189344,e4Nr5a1
688.0,v1,155115,476451456,253.846153846,113.37453792,-347.160842656,-226.758775456,e4Nr5a1
1060.5,v1,154704,476451456,135.28846153799998,235.89635669400002,-405.581050156,-199.298928165,e4Nr5a1
1327.5,v1,154696,476451456,132.980769231,331.948343259,-383.72044958199996,-184.25621891,e4Nr5a1
997.25,v1,154696,476451456,132.980769231,331.948343259,-383.72044958199996,-184.25621891,e4Nr5a1
125.25,v1,154696,476451456,132.980769231,331.948343259,-383.72044958199996,-184.25621891,e4Nr5a1
369.5,v1,154611,476451456,108.46153846200001,-259.479928806,-398.788558978,-78.2820046507,e4Nr5a1
732.0,v1,151562,476451456,133.207636107,292.012159881,-310.662875457,-380.58543396,e4Nr5a1
977.75,v1,151562,476451456,133.207636107,292.012159881,-310.662875457,-380.58543396,e4Nr5a1
1378.75,v1,151562,476451456,133.207636107,292.012159881,-310.662875457,-380.58543396,e4Nr5a1
735.0,v1,151607,476451456,137.025689371,463.625462544,-371.77069232599996,-614.949224529,e4Nr5a1
1229.0,v1,151658,476451456,141.352816403,641.642860313,-338.865732451,-354.28649145800006,e4Nr5a1
700.5,v1,151698,476451456,144.746641527,112.43850892200001,-422.953249741,651.49827623,e4Nr5a1
689.0,v1,150219,318733871,19.2599575772,56.7937056142,-404.32938828,-686.710308786,e4Nr5a1
1400.25,v1,152097,476451456,178.60004713599997,-695.878787986,-385.9929689,178.721526603,e4Nr5a1
1006.5,v1,152556,476451456,217.54419043099998,443.827360928,-427.37695998199996,-168.809509005,e4Nr5a1
1273.25,v1,152626,476451456,223.483384398,-549.141716473,-316.08580696900003,-296.146831427,e4Nr5a1
475.5,v1,152821,476451456,240.028281876,42.7321591121,-312.767099372,508.17342191,e4Nr5a1
590.0,v1,153336,476451456,283.72378034400003,290.074941945,-344.462599063,-786.634360266,e4Nr5a1
272.5,v1,153838,476451456,326.31628564700003,642.650389378,-364.882573664,-230.78200316,e4Nr5a1
436.5,v1,154190,476451456,356.181946736,174.241816582,-412.41013154300003,-652.658211826,e4Nr5a1
332.5,v1,152556,476451456,217.54419043099998,443.827360928,-427.37695998199996,-168.809509005,e4Nr5a1
400.0,v1,150234,318733871,20.5326419986,466.103268145,-331.269335725,-485.07947447199996,e4Nr5a1
290.0,v1,150244,318733871,21.3810982795,642.465391029,-344.69177803699995,-319.325140063,e4Nr5a1
658.75,v1,150244,318733871,21.3810982795,642.465391029,-344.69177803699995,-319.325140063,e4Nr5a1
448.0,v1,151393,318733871,118.86872495899999,-646.634432215,-427.523036934,232.73903535,e4Nr5a1
567.25,v1,151393,318733871,118.86872495899999,-646.634432215,-427.523036934,232.73903535,e4Nr5a1
739.25,v1,151446,318733871,123.365543248,234.531277472,-324.233279993,609.549649371,e4Nr5a1
69.25,v1,151497,318733871,127.69267028,-307.64633269,-355.96961493099997,-418.352061872,e4Nr5a1
534.75,v1,151497,318733871,127.69267028,-307.64633269,-355.96961493099997,-418.352061872,e4Nr5a1
509.25,v1,151560,318733871,133.03794485,348.330299122,-359.656733042,437.71389142099997,e4Nr5a1
1163.0,v1,151364,318733871,116.408201744,-605.4424770740001,-363.981053249,-430.61679700699995,e4Nr5a1
823.5,v1,151626,318733871,138.637756305,19.003300948,-398.32547599699996,-742.44640668,e4Nr5a1
560.5,v1,151673,318733871,142.625500825,129.00953264700001,-374.12171257800003,653.0562351780001,e4Nr5a1
61.75,v1,151751,318733871,149.243459816,-580.146266639,-378.454225641,244.94199301700002,e4Nr5a1
252.5,v1,151751,318733871,149.243459816,-580.146266639,-378.454225641,244.94199301700002,e4Nr5a1
1316.5,v1,151884,318733871,160.527928353,96.6251489516,-392.766640309,-485.71234109,e4Nr5a1
47.5,v1,151905,318733871,162.309686543,-561.129750346,-393.722857631,355.79250366400004,e4Nr5a1
1092.75,v1,152111,318733871,179.78788593,198.75174183200002,-366.527042101,599.5423349380001,e4Nr5a1
193.5,v1,151673,318733871,142.625500825,129.00953264700001,-374.12171257800003,653.0562351780001,e4Nr5a1
256.5,v1,151562,476451456,133.207636107,292.012159881,-310.662875457,-380.58543396,e4Nr5a1
52.5,v1,151342,318733871,114.54159792600001,-284.54269991,-397.71119156199995,-580.6555254040001,e4Nr5a1
1013.0,v1,151297,318733871,110.72354466200001,700.5237147339999,-373.43907689900004,-200.23016565700001,e4Nr5a1
690.75,v1,150244,318733871,21.3810982795,642.465391029,-344.69177803699995,-319.325140063,e4Nr5a1
543.5,v1,150270,318733871,23.587084609899996,-471.882939395,-331.323655896,-289.268307617,e4Nr5a1
450.0,v1,150369,318733871,31.986801791199998,443.772150113,-378.62540189,-656.969975608,e4Nr5a1
555.75,v1,150399,318733871,34.532170634,-408.74270289300006,-374.85480101699994,244.628949856,e4Nr5a1
512.25,v1,150516,318733871,44.4591091209,126.40164083799999,-361.323361821,389.03354215,e4Nr5a1
94.5,v1,150607,318733871,52.1800612774,-354.408272795,-413.55565212,-620.191257545,e4Nr5a1
1306.25,v1,151328,318733871,113.353759133,-690.596184265,-368.775080554,139.74467968,e4Nr5a1
1285.25,v1,150615,318733871,52.8588263021,557.443457304,-324.138025667,-38.4965861148,e4Nr5a1
552.75,v1,150725,318733871,62.1918453924,230.852500892,-414.740927101,667.9848928819999,e4Nr5a1
471.25,v1,150850,318733871,72.7975489041,18.948518174700002,-339.591098607,624.977284835,e4Nr5a1
176.25,v1,150996,318733871,85.1850106057,6.75769370918,-402.30978893400004,-577.387188552,e4Nr5a1
795.75,v1,151243,318733871,106.141880745,768.2884901169999,-424.71638774699994,297.285025486,e4Nr5a1
448.25,v1,151289,318733871,110.044779637,127.274578545,-360.641806825,-394.90710337800004,e4Nr5a1
108.25,v1,151297,318733871,110.72354466200001,700.5237147339999,-373.43907689900004,-200.23016565700001,e4Nr5a1
219.5,v1,150719,318733871,61.6827716239,734.412736262,-315.496411023,109.243497227,e4Nr5a1
176.0,v1,152126,318733871,181.060570351,146.23694576,-399.39265712400004,-601.43395104,e4Nr5a1
97.5,v1,151562,476451456,133.207636107,292.012159881,-310.662875457,-380.58543396,e4Nr5a1
482.0,v1,151523,476451456,129.898656611,-114.511692571,-388.009036951,501.74810925800006,e4Nr5a1
1349.25,v1,154945,476457450,204.807692308,-363.68033657,-416.259873258,87.1922646571,e4Nr5a1
470.5,v1,154942,476457450,203.942307692,202.74700794400002,-397.44901191,318.535895697,e4Nr5a1
948.25,v1,154893,476457450,189.807692308,163.784376759,-401.573430675,284.359384538,e4Nr5a1
359.75,v1,154873,476457450,184.03846153799998,-85.0297148215,-386.634053002,-230.18330428,e4Nr5a1
724.75,v1,154816,476457450,167.596153846,-83.45141371689999,-371.035725069,-57.585793338500004,e4Nr5a1
376.5,v1,154816,476457450,167.596153846,-83.45141371689999,-371.035725069,-57.585793338500004,e4Nr5a1
109.25,v1,154816,476457450,167.596153846,-83.45141371689999,-371.035725069,-57.585793338500004,e4Nr5a1
1139.5,v1,154811,476457450,166.153846154,-29.199058990799998,-346.979537641,-81.57590482970001,e4Nr5a1
669.25,v1,154811,476457450,166.153846154,-29.199058990799998,-346.979537641,-81.57590482970001,e4Nr5a1
1121.25,v1,154796,476457450,161.826923077,-18.0613354798,-392.07730813300003,282.70620355799997,e4Nr5a1
714.5,v1,154796,476457450,161.826923077,-18.0613354798,-392.07730813300003,282.70620355799997,e4Nr5a1
1057.25,v1,154763,476457450,152.307692308,97.6242958183,-427.146054227,-193.51971034299999,e4Nr5a1
768.0,v1,154744,476457450,146.826923077,297.074537177,-401.58322500300005,-16.1937650013,e4Nr5a1
1264.0,v1,154678,476457450,127.78846153799999,-5.09027725265,-316.278334182,-277.30023384,e4Nr5a1
175.25,v1,154667,476457450,124.615384615,337.659115855,-377.58277393699996,-66.9284588679,e4Nr5a1
1218.75,v1,154652,476457450,120.28846153799999,-75.1384873991,-315.53146274700003,33.710932213,e4Nr5a1
1056.5,v1,154652,476457450,120.28846153799999,-75.1384873991,-315.53146274700003,33.710932213,e4Nr5a1
697.25,v1,154165,476457450,354.060806033,-368.371307053,-403.29882020300005,-200.142277962,e4Nr5a1
1116.75,v1,154165,476457450,354.060806033,-368.371307053,-403.29882020300005,-200.142277962,e4Nr5a1
1215.25,v1,154165,476457450,354.060806033,-368.371307053,-403.29882020300005,-200.142277962,e4Nr5a1
1268.75,v1,154180,476457450,355.333490455,30.1582968102,-361.166408175,-799.278198156,e4Nr5a1
535.75,v1,154186,476457450,355.842564223,-245.533145939,-394.452034879,395.27274059800004,e4Nr5a1
426.25,v1,154297,476457450,17.8846153846,125.408306166,-383.88614024,-285.01601706900004,e4Nr5a1
513.75,v1,154971,476457450,212.307692308,2.17426593146,-419.387080384,87.7080609967,e4Nr5a1
1061.0,v1,154297,476457450,17.8846153846,125.408306166,-383.88614024,-285.01601706900004,e4Nr5a1
1058.5,v1,154431,476457450,56.5384615385,-19.4775890947,-385.997651552,-316.575831875,e4Nr5a1
497.0,v1,154481,476457450,70.9615384615,-327.76222573,-408.11116571599996,116.677505135,e4Nr5a1
798.75,v1,154512,476457450,79.9038461538,-123.754733514,-321.327436487,-215.382828909,e4Nr5a1
228.75,v1,154652,476457450,120.28846153799999,-75.1384873991,-315.53146274700003,33.710932213,e4Nr5a1
641.25,v1,154652,476457450,120.28846153799999,-75.1384873991,-315.53146274700003,33.710932213,e4Nr5a1
742.75,v1,154652,476457450,120.28846153799999,-75.1384873991,-315.53146274700003,33.710932213,e4Nr5a1
237.25,v1,154321,476457450,24.8076923077,-282.951652158,-322.611709395,243.06975761400003,e4Nr5a1
361.25,v1,154977,476457450,214.03846153799998,-28.867640294,-395.263249583,-311.519898281,e4Nr5a1
1058.25,v1,154977,476457450,214.03846153799998,-28.867640294,-395.263249583,-311.519898281,e4Nr5a1
438.25,v1,154981,476457450,215.192307692,30.169040249400002,-373.018264709,-343.52822345,e4Nr5a1
721.25,v1,155260,476457450,295.673076923,-171.128694981,-335.745395803,188.226907782,e4Nr5a1
114.75,v1,155275,476457450,300.0,-268.171442805,-365.194653244,-38.5310283505,e4Nr5a1
726.0,v1,155275,476457450,300.0,-268.171442805,-365.194653244,-38.5310283505,e4Nr5a1
1048.75,v1,155275,476457450,300.0,-268.171442805,-365.194653244,-38.5310283505,e4Nr5a1
986.25,v1,155292,476457450,304.903846154,289.444232092,-342.954349488,-54.873184637799994,e4Nr5a1
1245.25,v1,155292,476457450,304.903846154,289.444232092,-342.954349488,-54.873184637799994,e4Nr5a1
862.25,v1,155244,476457450,291.057692308,-230.20365401900003,-400.091810029,12.6033498311,e4Nr5a1
1196.25,v1,155384,476457450,331.442307692,-77.63701475159999,-342.59349602599997,349.511354101,e4Nr5a1
119.5,v1,150353,476451456,30.629271741700002,509.653944618,-397.59207634300003,416.056170349,e4Nr5a1
325.0,v1,150353,476451456,30.629271741700002,509.653944618,-397.59207634300003,416.056170349,e4Nr5a1
407.0,v1,150360,476451456,31.2231911383,459.08918298300006,-391.478022847,-504.79631591099997,e4Nr5a1
188.5,v1,150587,476451456,50.4831487155,507.77234144,-375.341184265,521.638947763,e4Nr5a1
318.5,v1,150590,476451456,50.737685599799995,470.810108585,-318.648796931,-682.870717119,e4Nr5a1
385.75,v1,151394,476451456,118.953570587,-77.0827913331,-401.257078891,788.37106018,e4Nr5a1
1130.0,v1,155403,476457450,336.923076923,-2.82668154302,-396.716094072,103.656561074,e4Nr5a1
414.75,v1,151556,476451456,132.698562338,-820.649368598,-425.02473787400004,67.733790683,e4Nr5a1
715.75,v1,155244,476457450,291.057692308,-230.20365401900003,-400.091810029,12.6033498311,e4Nr5a1
107.25,v1,155244,476457450,291.057692308,-230.20365401900003,-400.091810029,12.6033498311,e4Nr5a1
654.5,v1,154981,476457450,215.192307692,30.169040249400002,-373.018264709,-343.52822345,e4Nr5a1
1064.0,v1,154981,476457450,215.192307692,30.169040249400002,-373.018264709,-343.52822345,e4Nr5a1
351.5,v1,155020,476457450,226.442307692,-371.730590543,-424.307884442,-27.891258974499998,e4Nr5a1
1040.0,v1,155058,476457450,237.403846154,68.1525148404,-319.177313255,-350.266757739,e4Nr5a1
722.75,v1,155119,476457450,255.0,-145.009339635,-333.298397545,-156.387166194,e4Nr5a1
1065.75,v1,155119,476457450,255.0,-145.009339635,-333.298397545,-156.387166194,e4Nr5a1
508.5,v1,155244,476457450,291.057692308,-230.20365401900003,-400.091810029,12.6033498311,e4Nr5a1
147.0,v1,155159,476457450,266.538461538,125.87208716299999,-321.45596566,272.984975823,e4Nr5a1
164.25,v1,155220,476457450,284.134615385,220.411160548,-380.611384439,137.87969424899998,e4Nr5a1
259.5,v1,155220,476457450,284.134615385,220.411160548,-380.611384439,137.87969424899998,e4Nr5a1
377.0,v1,155220,476457450,284.134615385,220.411160548,-380.611384439,137.87969424899998,e4Nr5a1
508.25,v1,155220,476457450,284.134615385,220.411160548,-380.611384439,137.87969424899998,e4Nr5a1
918.0,v1,155220,476457450,284.134615385,220.411160548,-380.611384439,137.87969424899998,e4Nr5a1
568.0,v1,155225,476457450,285.576923077,-293.48722024799997,-352.12451153,-83.20115665510001,e4Nr5a1
132.75,v1,155181,476457450,272.884615385,107.414276209,-348.64119499599997,-170.807645164,e4Nr5a1
372.25,v1,154165,476457450,354.060806033,-368.371307053,-403.29882020300005,-200.142277962,e4Nr5a1
1215.75,v1,152231,318733871,189.969361301,-676.433834575,-394.235189664,51.9423388253,e4Nr5a1
729.75,v1,152258,318733871,192.260193259,290.097382013,-392.09902320199996,671.026469537,e4Nr5a1
98.75,v1,150658,386970660,56.50718831020001,-615.946839823,-403.82167989,533.840172163,e4Nr5a1
1151.0,v1,150446,386970660,38.5199151544,-95.3648520477,-356.62711503599996,-572.391966489,e4Nr5a1
699.75,v1,150333,386970660,28.9323591798,94.48909070010001,-419.464114863,504.557324656,e4Nr5a1
572.25,v1,150333,386970660,28.9323591798,94.48909070010001,-419.464114863,504.557324656,e4Nr5a1
683.0,v1,154400,370351753,47.5961538462,-51.2833645038,-324.367179014,92.2192687177,e4Nr5a1
723.75,v1,154095,422738880,348.12161206699994,210.259625546,-351.207575766,726.433750776,e4Nr5a1
562.75,v1,153505,422738880,298.062691492,-524.935824556,-313.923170063,463.67257712099996,e4Nr5a1
554.25,v1,151931,422738880,164.515672873,101.922164147,-355.83026993699997,816.214682972,e4Nr5a1
1379.75,v1,155377,318733871,329.423076923,266.90982298,-335.95767834,244.45746715,e4Nr5a1
658.0,v1,155376,318733871,329.134615385,-80.2955202885,-407.910209426,144.959159493,e4Nr5a1
806.0,v1,155368,318733871,326.826923077,-203.56202648599998,-417.764674434,142.118430648,e4Nr5a1
720.5,v1,155330,318733871,315.865384615,-250.28064933099998,-337.376662276,-114.016075146,e4Nr5a1
921.5,v1,155266,318733871,297.403846154,-249.19572935,-359.38539466699996,169.71606106,e4Nr5a1
686.5,v1,155266,318733871,297.403846154,-249.19572935,-359.38539466699996,169.71606106,e4Nr5a1
634.5,v1,155266,318733871,297.403846154,-249.19572935,-359.38539466699996,169.71606106,e4Nr5a1
523.5,v1,155266,318733871,297.403846154,-249.19572935,-359.38539466699996,169.71606106,e4Nr5a1
649.0,v1,155254,318733871,293.942307692,-193.25293675900002,-360.11004547,108.50423759899999,e4Nr5a1
682.5,v1,154849,318733871,177.115384615,-35.9021470297,-384.46503454199996,94.70773629719999,e4Nr5a1
1151.0,v1,154849,318733871,177.115384615,-35.9021470297,-384.46503454199996,94.70773629719999,e4Nr5a1
